p_date	p_time	clientip	host	webcat	respcode	reqmethod	useragent	resconttype	referer	uriport	serverip	scbytes	csbytes	fulluri
2016-07-07	00:27:23	10.255.79.67	wtsh.s.widget.ldrhub.com	Audio/Video Clips	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json	http://wtsh.s.widget.ldrhub.com/releases/cox/index.php?key=wtsh&url=http%3A%2F%2Fwww.x1071atlanta.com%2F	80	10.7.210.157	419	978	wtsh.s.widget.ldrhub.com/api/?key=wtsh&method=remix_voting_session
2016-07-07	00:27:39	10.255.79.67	wtsh.s.widget.ldrhub.com	Audio/Video Clips	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json	http://wtsh.s.widget.ldrhub.com/releases/cox/index.php?key=wtsh&url=http%3A%2F%2Fwww.x1071atlanta.com%2F	80	10.7.210.157	419	978	wtsh.s.widget.ldrhub.com/api/?key=wtsh&method=remix_voting_session
2016-07-07	00:27:55	10.255.79.67	wtsh.s.widget.ldrhub.com	Audio/Video Clips	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json	http://wtsh.s.widget.ldrhub.com/releases/cox/index.php?key=wtsh&url=http%3A%2F%2Fwww.x1071atlanta.com%2F	80	10.7.210.157	419	978	wtsh.s.widget.ldrhub.com/api/?key=wtsh&method=remix_voting_session
2016-07-07	00:28:11	10.255.79.67	wtsh.s.widget.ldrhub.com	Audio/Video Clips	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json	http://wtsh.s.widget.ldrhub.com/releases/cox/index.php?key=wtsh&url=http%3A%2F%2Fwww.x1071atlanta.com%2F	80	10.7.210.157	634	831	wtsh.s.widget.ldrhub.com/api/?key=wtsh&method=remix_voting_session
2016-07-07	00:28:27	10.255.79.67	wtsh.s.widget.ldrhub.com	Audio/Video Clips	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json	http://wtsh.s.widget.ldrhub.com/releases/cox/index.php?key=wtsh&url=http%3A%2F%2Fwww.x1071atlanta.com%2F	80	10.7.210.157	419	978	wtsh.s.widget.ldrhub.com/api/?key=wtsh&method=remix_voting_session
2016-07-07	00:28:43	10.255.79.67	wtsh.s.widget.ldrhub.com	Audio/Video Clips	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json	http://wtsh.s.widget.ldrhub.com/releases/cox/index.php?key=wtsh&url=http%3A%2F%2Fwww.x1071atlanta.com%2F	80	10.7.210.157	419	978	wtsh.s.widget.ldrhub.com/api/?key=wtsh&method=remix_voting_session
2016-07-07	00:28:59	10.255.79.67	wtsh.s.widget.ldrhub.com	Audio/Video Clips	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json	http://wtsh.s.widget.ldrhub.com/releases/cox/index.php?key=wtsh&url=http%3A%2F%2Fwww.x1071atlanta.com%2F	80	10.7.210.157	419	978	wtsh.s.widget.ldrhub.com/api/?key=wtsh&method=remix_voting_session
2016-07-07	00:29:15	10.255.79.67	wtsh.s.widget.ldrhub.com	Audio/Video Clips	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json	http://wtsh.s.widget.ldrhub.com/releases/cox/index.php?key=wtsh&url=http%3A%2F%2Fwww.x1071atlanta.com%2F	80	10.7.210.157	634	831	wtsh.s.widget.ldrhub.com/api/?key=wtsh&method=remix_voting_session
2016-07-07	00:29:31	10.255.79.67	wtsh.s.widget.ldrhub.com	Audio/Video Clips	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json	http://wtsh.s.widget.ldrhub.com/releases/cox/index.php?key=wtsh&url=http%3A%2F%2Fwww.x1071atlanta.com%2F	80	10.7.210.157	419	978	wtsh.s.widget.ldrhub.com/api/?key=wtsh&method=remix_voting_session
2016-07-07	00:29:47	10.255.79.67	wtsh.s.widget.ldrhub.com	Audio/Video Clips	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json	http://wtsh.s.widget.ldrhub.com/releases/cox/index.php?key=wtsh&url=http%3A%2F%2Fwww.x1071atlanta.com%2F	80	10.7.210.157	419	978	wtsh.s.widget.ldrhub.com/api/?key=wtsh&method=remix_voting_session
2016-07-07	00:30:03	10.255.79.67	wtsh.s.widget.ldrhub.com	Audio/Video Clips	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json	http://wtsh.s.widget.ldrhub.com/releases/cox/index.php?key=wtsh&url=http%3A%2F%2Fwww.x1071atlanta.com%2F	80	10.7.210.157	419	978	wtsh.s.widget.ldrhub.com/api/?key=wtsh&method=remix_voting_session
2016-07-07	00:30:19	10.255.79.67	wtsh.s.widget.ldrhub.com	Audio/Video Clips	OK	GET	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36	application/json	http://wtsh.s.widget.ldrhub.com/releases/cox/index.php?key=wtsh&url=http%3A%2F%2Fwww.x1071atlanta.com%2F	80	10.7.210.157	634	831	wtsh.s.widget.ldrhub.com/api/?key=wtsh&method=remix_voting_session
